src	dst	weight
0	28	0.7673350328467676
2	7	0.30990314491515314
2	29	0.6063794945985476
3	31	0.5626241013790012
4	28	0.765869181403019
5	21	0.26990437082367824
6	17	0.6398135715959278
8	12	0.88963953439585
9	28	0.07458168397913989
10	20	0.2753267521267565
11	22	0.974096703773506
12	23	0.4202908889832069
13	10	0.22585115521919286
15	30	0.2193364161559581
18	21	0.10322815931854235
19	22	0.7336791904972606
19	11	0.7489372029771209
19	13	0.5440053585620599
20	7	0.6790864507648056
20	31	0.4588218511148584
21	17	0.40614035811040206
22	5	0.3943225064145237
22	12	0.3754120781541028
22	8	0.44886018346463885
23	18	0.31735739874853064
25	14	0.27240695282229266
25	12	0.02097976376050903
26	27	0.5218909258425296
27	11	0.08020150961012595
27	31	0.15033646312954585
27	4	0.7574946917410532
32	31	0.35655449451624655
32	17	0.29265154873112675
