Gene_ID	Gene
ENSG00000000003	['TSPAN6', 'TM4SF6', 'T245', 'TSPAN-6']
ENSG00000000005	['TNMD', 'myodulin', 'ChM1L', 'tendin', 'TEM', 'BRICD4']
ENSG00000000419	['DPM1', 'MPDS', 'CDGIE']
ENSG00000000457	['SCYL3', 'PACE-1', 'PACE1']
ENSG00000000460	['C1orf112', 'FLJ10706']
ENSG00000000938	['FGR', 'SRC2', 'c-fgr', 'p55c-fgr']
ENSG00000000971	['CFH', 'HF', 'HF1', 'HF2', 'HUS', 'ARMS1', 'ARMD4']
ENSG00000001036	['FUCA2', 'MGC1314', 'dJ20N2.5']
ENSG00000001084	['GCLC', 'GLCLC', 'GLCL', 'GCS']
ENSG00000001167	['NFYA', 'CBF-B', 'NF-YA']
ENSG00000001460	['STPG1', 'C1orf201', 'FLJ33340', 'MAPO2']
ENSG00000001461	['NIPAL3', 'NPAL3', 'DJ462O23.2']
ENSG00000001497	['LAS1L', 'FLJ12525']
ENSG00000001561	['ENPP4', 'NPP4', 'KIAA0879', 'AP3Aase']
ENSG00000001617	['SEMA3F', 'SEMAK', 'Sema4']
ENSG00000001626	['CFTR', 'CF', 'ABCC7', 'ABC35', 'TNR-CFTR', 'dJ760C5.1', 'CFTR/MRP']
ENSG00000001629	['ANKIB1', 'DKFZP434A0225', 'KIAA1386']
ENSG00000001630	['CYP51A1', 'CYP51', 'CP51', 'CYPL1', 'P450L1', 'LDM', 'P450-14DM']
ENSG00000001631	['KRIT1', 'CCM1', 'CAM']
ENSG00000002016	['RAD52']
ENSG00000002330	['BAD', 'BCL2L8', 'BBC2']
ENSG00000002549	['LAP3', 'PEPS', 'LAPEP']
ENSG00000002586	['CD99', 'MIC2']
ENSG00000002587	['HS3ST1', '3OST1']
ENSG00000002726	['AOC1', 'ABP1']
ENSG00000002745	['WNT16']
ENSG00000002746	['HECW1', 'KIAA0322', 'NEDL1']
ENSG00000002822	['MAD1L1', 'HsMAD1', 'TXBP181', 'MAD1', 'PIG9', 'TP53I9']
ENSG00000002834	['LASP1', 'MLN50', 'Lasp-1']
ENSG00000002919	['SNX11']
ENSG00000002933	['TMEM176A', 'HCA112', 'MS4B1']
ENSG00000003056	['M6PR', 'CD-MPR', 'CD-M6PR']
ENSG00000003096	['KLHL13', 'BKLHD2', 'KIAA1309', 'FLJ10262']
ENSG00000003137	['CYP26B1', 'P450RAI-2']
