Gene	Gene_ID	index
A1CF	ENSG00000148584	0
A2M	ENSG00000175899	1
A2ML1	ENSG00000166535	2
A3GALT2	ENSG00000184389	3
A4GALT	ENSG00000128274	4
A4GNT	ENSG00000118017	5
AACS	ENSG00000081760	6
AADAC	ENSG00000114771	7
AADACL2	ENSG00000197953	8
AADACL3	ENSG00000188984	9
AADACL4	ENSG00000204518	10
AADAT	ENSG00000109576	11
AAED1	ENSG00000158122	12
AAGAB	ENSG00000103591	13
AAK1	ENSG00000115977	14
AAMDC	ENSG00000087884	15
AANAT	ENSG00000129673	16
AAR2	ENSG00000131043	17
AARD	ENSG00000205002	18
AARS	ENSG00000090861	19
AARS2	ENSG00000124608	20
AARSD1	ENSG00000266967	21
AASDH	ENSG00000157426	22
AASDHPPT	ENSG00000149313	23
AASS	ENSG00000008311	24
AATF	ENSG00000108270	25
AATK	ENSG00000181409	26
ABAT	ENSG00000183044	27
ABCA1	ENSG00000165029	28
ABCA2	ENSG00000107331	29
ABCA3	ENSG00000167972	30
ABCA4	ENSG00000198691	31
ABCA5	ENSG00000154265	32
ABCA6	ENSG00000154262	33
ABCA7	ENSG00000064687	34
ABCA8	ENSG00000141338	35
ABCA9	ENSG00000154258	36
ABCA10	ENSG00000154263	37
ABCA12	ENSG00000144452	38
ABCA13	ENSG00000179869	39
ABCB1	ENSG00000085563	40
ABCB4	ENSG00000005471	41
ABCB5	ENSG00000004846	42
ABCB6	ENSG00000115657	43
ABCB7	ENSG00000131269	44
ABCB8	ENSG00000197150	45
ABCB9	ENSG00000150967	46
ABCB10	ENSG00000135776	47
ABCB11	ENSG00000073734	48
ABCC1	ENSG00000103222	49
ABCC2	ENSG00000023839	50
ABCC3	ENSG00000108846	51
ABCC4	ENSG00000125257	52
ABCC5	ENSG00000114770	53
ABCC6	ENSG00000091262	54
ABCC8	ENSG00000006071	55
ABCC9	ENSG00000069431	56
ABCC10	ENSG00000124574	57
ABCC11	ENSG00000121270	58
ABCC12	ENSG00000140798	59
ABCD1	ENSG00000101986	60
ABCD2	ENSG00000173208	61
ABCD3	ENSG00000117528	62
ABCD4	ENSG00000119688	63
ABCE1	ENSG00000164163	64
ABCF1	ENSG00000204574	65
ABCF2	ENSG00000033050	66
ABCF3	ENSG00000161204	67
ABCG1	ENSG00000160179	68
ABCG2	ENSG00000118777	69
ABCG4	ENSG00000172350	70
ABCG5	ENSG00000138075	71
ABCG8	ENSG00000143921	72
